cell_id,elev,t4_pm20_majority,t2_pm20_majority,t4_pm10_majority,t0_p0_majority,t2_pm10_majority,t4_p0_majority,t0_pm10_majority,t0_pm20_majority,t2_p0_majority
"UG_23606",235,6,6,6,6,6,6,6,6,6
"UG_23607",264,6,6,4,4,4,4,4,6,4
"UG_23608",420,6,6,6,6,6,6,6,6,6
"UG_23609",563,6,6,6,6,6,6,6,6,6
"UG_23610",503,6,6,6,6,6,6,6,6,6
"UG_23611",542,6,6,6,6,6,6,6,6,6
"UG_23612",578,6,6,6,6,6,6,6,6,6
"UG_23461",659,6,6,6,6,6,6,6,6,6
"UG_23462",624,6,6,6,6,6,6,6,6,6
"UG_23327",620,2,2,2,2,2,2,2,2,2
"UG_23328",615,2,2,2,2,2,2,2,2,2
"UG_23329",662,2,2,2,2,2,2,2,2,2
"UG_23463",561,6,6,6,6,6,6,6,6,6
"UG_23464",489,6,6,6,6,6,6,6,6,6
"UG_23465",377,6,6,6,6,6,6,6,6,6
"UG_23330",253,4,4,4,4,4,4,4,4,4
"UG_23331",165,4,4,4,4,4,4,4,4,4
"UG_23332",92,2,2,2,2,2,2,2,2,2
"UG_23592",112,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23593",140,6,6,6,6,6,6,6,6,6
"UG_23594",154,6,6,6,6,6,6,6,6,6
"UG_23594",154,6,6,6,6,6,6,6,6,6
"UG_23595",235,6,6,6,6,6,6,6,6,6
"UG_23596",322,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23597",229,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23598",306,6,6,6,6,6,6,6,6,6
"UG_23599",543,6,6,6,6,6,6,6,6,6
"UG_23600",489,6,6,6,6,6,6,6,6,6
"UG_23601",513,6,6,6,6,6,6,6,6,6
"UG_23449",483,6,6,6,6,6,6,6,6,6
"UG_23450",462,6,6,6,6,6,6,6,6,6
"UG_23451",362,6,6,6,6,6,6,6,6,6
"UG_23452",336,6,6,6,6,6,6,6,6,6
"UG_23453",378,4,4,4,4,4,4,4,4,4
"UG_23454",431,4,4,4,4,4,4,4,4,4
"UG_23455",411,4,4,4,4,4,4,4,4,4
"UG_23456",380,4,4,4,4,4,4,4,4,4
"UG_23457",297,4,4,4,4,4,4,4,4,4
"UG_23458",263,4,4,4,4,4,4,4,4,4
"UG_23459",126,2,2,2,2,2,2,2,2,2
"UG_23460",59,2,2,2,2,2,2,2,2,2
"UG_23326",85,2,2,2,2,2,2,2,2,2
"UG_23326",85,2,2,2,2,2,2,2,2,2
"UG_23581",11,6,6,6,6,6,6,6,6,6
"UG_23582",89,6,6,6,6,6,6,6,6,6
"UG_23582",89,6,6,6,6,6,6,6,6,6
"UG_23583",141,6,6,4,4,4,4,6,6,4
"UG_23583",141,6,6,4,4,4,4,6,6,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23584",163,6,6,4,4,4,4,6,2,4
"UG_23585",205,6,6,6,6,6,6,6,6,6
"UG_23585",205,6,6,6,6,6,6,6,6,6
"UG_23586",255,6,6,6,6,6,6,6,6,6
"UG_23586",255,6,6,6,6,6,6,6,6,6
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
"UG_23587",111,6,6,4,4,4,4,4,6,4
